Wall time,Step,Value
1600085556.5966551,99,0.5
1600085557.549546,599,0.5
1600085558.4804504,1099,nan
1600085559.4317997,1599,0.5
1600085560.3786976,2099,nan
1600085561.3149655,2599,1.0
1600085562.2094057,3099,1.0
1600085563.1252568,3599,0.75
1600085564.0053308,4099,0.5
1600085564.9271598,4599,1.0
1600085565.8972855,5099,1.0
1600085566.8584378,5599,0.6666666865348816
1600085567.7566135,6099,1.0
1600085568.6315923,6599,0.6666666865348816
1600085569.530635,7099,1.0
1600085570.4256206,7599,0.5
1600085571.30231,8099,0.75
1600085572.212709,8599,1.0
1600085573.1024668,9099,1.0
1600085574.000407,9599,0.800000011920929
1600085574.9659612,10099,0.75
1600085575.9024117,10599,nan
1600085576.822496,11099,0.5
1600085577.7305477,11599,nan
1600085578.6336124,12099,1.0
1600085579.5159552,12599,0.75
1600085580.4323237,13099,0.6666666865348816
1600085581.3631198,13599,0.3333333432674408
1600085582.308663,14099,0.6666666865348816
1600085583.2812715,14599,0.75
1600085584.1804411,15099,0.6666666865348816
1600085585.1507602,15599,1.0
1600085586.0669034,16099,nan
1600085586.983423,16599,1.0
1600085587.8835242,17099,1.0
1600085588.8324842,17599,1.0
1600085589.7595332,18099,nan
1600085590.8395138,18599,nan
1600085591.7734656,19099,0.6666666865348816
1600085592.6807716,19599,nan
1600085593.6428063,20099,1.0
1600085594.599233,20599,1.0
1600085595.6136825,21099,1.0
1600085596.6253974,21599,0.6666666865348816
1600085597.5574005,22099,1.0
1600085598.4873602,22599,1.0
1600085599.384603,23099,0.6666666865348816
1600085600.3585796,23599,1.0
1600085601.2465196,24099,0.75
1600085602.1458485,24599,1.0
1600085603.0306997,25099,1.0
1600085603.9164703,25599,nan
1600085604.832507,26099,1.0
1600085605.7638268,26599,0.75
1600085606.667579,27099,0.6666666865348816
1600085607.5634432,27599,nan
1600085608.4605505,28099,1.0
1600085609.3506086,28599,1.0
1600085610.2467484,29099,1.0
1600085611.1235125,29599,0.75
1600085612.039645,30099,0.6666666865348816
1600085612.9603343,30599,1.0
1600085613.8542962,31099,1.0
1600085614.7455735,31599,1.0
1600085615.6388452,32099,nan
1600085616.5248086,32599,1.0
1600085617.405395,33099,0.5
1600085618.2985992,33599,nan
1600085619.184289,34099,1.0
1600085620.0743346,34599,1.0
1600085620.9907024,35099,0.800000011920929
1600085621.8853922,35599,1.0
1600085622.800513,36099,1.0
1600085623.7477198,36599,nan
1600085624.6714387,37099,0.800000011920929
1600085625.5544589,37599,1.0
1600085626.4511333,38099,nan
1600085627.3536174,38599,1.0
1600085628.2318208,39099,1.0
1600085629.1185734,39599,1.0
1600085630.0055773,40099,1.0
1600085630.8983872,40599,1.0
1600085631.7764235,41099,1.0
1600085632.6703534,41599,1.0
1600085633.55563,42099,nan
1600085634.4523146,42599,1.0
1600085635.3376665,43099,0.75
1600085636.2437918,43599,0.75
1600085637.1286154,44099,1.0
1600085638.0343971,44599,0.800000011920929
1600085638.9256773,45099,1.0
1600085639.821444,45599,1.0
1600085640.7545564,46099,0.800000011920929
1600085641.6983168,46599,nan
1600085642.6266768,47099,1.0
1600085643.518638,47599,0.75
1600085644.412457,48099,0.6666666865348816
1600085645.3087544,48599,0.75
1600085646.2287166,49099,0.5
1600085647.1283612,49599,1.0
1600085648.0216439,50099,0.75
1600085648.9283834,50599,nan
1600085649.8946414,51099,nan
1600085650.8289409,51599,0.75
1600085651.7476718,52099,1.0
1600085652.6502476,52599,1.0
1600085653.5725837,53099,1.0
1600085654.4657314,53599,1.0
1600085655.343494,54099,1.0
1600085656.222491,54599,1.0
1600085657.1596634,55099,1.0
1600085658.0716586,55599,1.0
1600085658.983563,56099,1.0
1600085659.8813684,56599,1.0
1600085660.807044,57099,1.0
1600085661.7293556,57599,0.6666666865348816
1600085662.6154838,58099,1.0
1600085663.5333886,58599,0.75
1600085664.4663563,59099,0.0
1600085665.3623848,59599,1.0
1600085666.2864282,60099,0.75
1600085667.188399,60599,1.0
1600085668.0754447,61099,1.0
1600085668.9895442,61599,1.0
1600085669.9057133,62099,1.0
1600085670.7940185,62599,1.0
1600085671.6804795,63099,1.0
1600085672.5679665,63599,0.6666666865348816
1600085673.4735057,64099,1.0
1600085674.3785348,64599,0.5
1600085675.2847617,65099,1.0
1600085676.1894639,65599,0.0
1600085677.0758832,66099,0.0
1600085677.9639106,66599,0.75
1600085678.8514996,67099,0.6666666865348816
1600085679.750772,67599,0.6666666865348816
1600085680.6585834,68099,1.0
1600085681.5629606,68599,1.0
1600085682.4772646,69099,nan
1600085683.4376292,69599,0.6666666865348816
1600085684.387331,70099,nan
1600085685.354395,70599,1.0
1600085686.300834,71099,1.0
1600085687.234461,71599,1.0
1600085688.1416595,72099,0.0
1600085689.0435383,72599,0.5
1600085689.9456053,73099,1.0
1600085690.856603,73599,nan
1600085691.794801,74099,0.800000011920929
1600085692.7667618,74599,1.0
1600085693.6835864,75099,1.0
1600085694.6082969,75599,1.0
1600085695.5462837,76099,1.0
1600085696.4546952,76599,1.0
1600085697.4183939,77099,1.0
1600085698.362555,77599,1.0
1600085699.2744784,78099,1.0
1600085700.1829894,78599,1.0
1600085701.1564822,79099,nan
1600085702.0768006,79599,nan
1600085703.0045798,80099,0.5
1600085703.9476848,80599,0.6666666865348816
1600085704.8595078,81099,1.0
1600085705.7974753,81599,nan
1600085706.7746718,82099,1.0
1600085707.7084138,82599,0.6666666865348816
1600085708.6722903,83099,1.0
1600085709.603492,83599,0.5
1600085710.5255048,84099,0.6666666865348816
1600085711.4375737,84599,nan
1600085712.422643,85099,1.0
1600085713.4085531,85599,1.0
1600085714.3835037,86099,1.0
1600085715.3174205,86599,1.0
1600085716.2735612,87099,1.0
1600085717.2327445,87599,1.0
1600085718.1450844,88099,1.0
1600085719.0397666,88599,1.0
1600085719.933866,89099,1.0
1600085720.8284442,89599,0.6666666865348816
1600085721.7127545,90099,nan
1600085722.629266,90599,1.0
1600085723.516728,91099,1.0
1600085724.4446793,91599,1.0
1600085725.3443136,92099,0.5
1600085726.2410936,92599,1.0
1600085727.1455715,93099,1.0
1600085728.0654557,93599,1.0
1600085728.9595375,94099,1.0
1600085729.8485842,94599,1.0
1600085730.7464106,95099,1.0
1600085731.635345,95599,1.0
1600085732.5552907,96099,1.0
1600085733.4484136,96599,nan
1600085734.3456361,97099,1.0
1600085735.2339048,97599,0.6666666865348816
1600085736.1298957,98099,1.0
1600085737.04348,98599,1.0
1600085737.9523826,99099,1.0
1600085738.9172482,99599,1.0
1600085739.8473895,100099,0.5
1600085740.8094394,100599,1.0
1600085741.7506132,101099,1.0
1600085742.701344,101599,1.0
1600085743.6639273,102099,0.3333333432674408
1600085744.6122763,102599,1.0
1600085745.5533154,103099,0.6666666865348816
1600085746.4613838,103599,1.0
1600085747.4223013,104099,0.800000011920929
1600085748.3684452,104599,1.0
1600085749.313315,105099,1.0
1600085750.2633047,105599,1.0
1600085751.1596034,106099,nan
1600085752.1845498,106599,1.0
1600085753.1688533,107099,1.0
1600085754.0936005,107599,0.5
1600085755.0436225,108099,1.0
1600085756.016909,108599,nan
1600085756.9530804,109099,0.0
1600085757.873596,109599,1.0
1600085758.8104603,110099,1.0
1600085759.7138515,110599,1.0
1600085760.6557345,111099,nan
1600085761.560493,111599,1.0
1600085762.4755998,112099,1.0
1600085763.3783536,112599,1.0
1600085764.312415,113099,1.0
1600085765.222058,113599,1.0
1600085766.1673741,114099,nan
1600085767.0698626,114599,1.0
1600085767.983021,115099,1.0
1600085768.8649065,115599,1.0
1600085769.7462938,116099,0.6666666865348816
1600085770.6475515,116599,1.0
1600085771.5346992,117099,1.0
1600085772.432673,117599,1.0
1600085773.3558178,118099,1.0
1600085774.2484882,118599,1.0
1600085775.133757,119099,0.5
1600085776.019345,119599,nan
1600085776.928171,120099,1.0
1600085777.8087885,120599,1.0
1600085778.699164,121099,nan
1600085779.582433,121599,1.0
1600085780.4836893,122099,1.0
1600085781.365224,122599,0.6666666865348816
1600085782.256598,123099,0.5
1600085783.1505141,123599,1.0
1600085784.0660274,124099,0.5
1600085784.9465034,124599,1.0
1600085785.8385158,125099,0.6666666865348816
1600085786.7364376,125599,nan
1600085787.6243925,126099,0.6000000238418579
1600085788.564757,126599,1.0
1600085789.4592884,127099,1.0
1600085790.3902788,127599,1.0
1600085791.2956252,128099,1.0
1600085792.335547,128599,1.0
1600085793.278522,129099,0.5
1600085794.1823232,129599,nan
1600085795.0958307,130099,0.6666666865348816
1600085796.0034673,130599,1.0
1600085796.9052305,131099,nan
1600085797.7959406,131599,nan
1600085798.7212844,132099,1.0
1600085799.6253269,132599,0.75
1600085800.5594268,133099,1.0
1600085801.4622953,133599,1.0
1600085802.364689,134099,nan
1600085803.2950747,134599,1.0
1600085804.2083964,135099,nan
1600085805.0903583,135599,1.0
1600085805.983655,136099,1.0
1600085806.8687282,136599,1.0
1600085807.7766297,137099,1.0
1600085808.6644392,137599,1.0
1600085809.5563564,138099,1.0
1600085810.4593694,138599,0.75
1600085811.343452,139099,1.0
1600085812.2780292,139599,0.6666666865348816
1600085813.194359,140099,0.6666666865348816
1600085814.109097,140599,1.0
1600085815.0242631,141099,1.0
1600085815.9264033,141599,nan
1600085816.8805642,142099,1.0
1600085817.8616323,142599,1.0
1600085818.797094,143099,1.0
1600085819.6896708,143599,1.0
1600085820.589845,144099,1.0
1600085821.4996805,144599,1.0
1600085822.3976963,145099,0.75
1600085823.2756994,145599,nan
1600085824.1715484,146099,1.0
1600085825.0558434,146599,1.0
1600085825.9877627,147099,1.0
1600085826.9255877,147599,nan
1600085827.84479,148099,1.0
1600085828.8096313,148599,0.5
1600085829.7473447,149099,nan
1600085830.6636703,149599,1.0
1600085831.5648832,150099,1.0
1600085832.561641,150599,1.0
1600085833.5445514,151099,nan
1600085834.4896286,151599,1.0
1600085835.4376607,152099,0.5
1600085836.3888168,152599,0.75
1600085837.3496232,153099,nan
1600085838.2903905,153599,nan
1600085839.2278013,154099,1.0
1600085840.1255214,154599,0.800000011920929
1600085841.0210216,155099,1.0
1600085841.9190695,155599,nan
1600085842.817616,156099,1.0
1600085843.7016196,156599,1.0
1600085844.625847,157099,1.0
1600085845.5287447,157599,0.6666666865348816
1600085846.4443102,158099,1.0
1600085847.3743594,158599,1.0
1600085848.3606918,159099,1.0
1600085849.2954724,159599,nan
1600085850.2525408,160099,1.0
1600085851.2415178,160599,nan
1600085852.212831,161099,nan
1600085853.1998508,161599,1.0
1600085854.1547651,162099,1.0
1600085855.1531196,162599,1.0
1600085856.1965916,163099,1.0
1600085857.254826,163599,1.0
1600085858.2823246,164099,1.0
1600085859.240607,164599,nan
1600085860.1949248,165099,nan
1600085861.129536,165599,0.25
1600085862.094524,166099,1.0
1600085863.0564642,166599,0.5
1600085864.013494,167099,nan
1600085864.9975512,167599,nan
1600085865.9714398,168099,1.0
1600085866.9477475,168599,1.0
1600085867.923357,169099,1.0
1600085868.8977523,169599,1.0
1600085869.8785198,170099,1.0
1600085870.8764663,170599,nan
1600085871.8343582,171099,0.75
1600085872.7776828,171599,nan
1600085873.8211372,172099,1.0
1600085874.9346423,172599,1.0
1600085875.9404593,173099,0.5
1600085876.949038,173599,1.0
1600085877.9626439,174099,0.5
1600085878.9667466,174599,1.0
1600085879.9067836,175099,0.75
1600085880.8411117,175599,1.0
1600085881.7744846,176099,1.0
1600085882.7165806,176599,1.0
1600085883.654723,177099,1.0
1600085884.5965884,177599,1.0
1600085885.5314422,178099,1.0
1600085886.4775221,178599,0.5
1600085887.4237056,179099,nan
1600085888.3646023,179599,0.75
1600085889.293437,180099,nan
1600085890.2446184,180599,0.75
1600085891.1927335,181099,1.0
1600085892.1416042,181599,1.0
1600085893.081633,182099,0.6666666865348816
1600085894.0506637,182599,1.0
1600085895.013482,183099,1.0
1600085895.9305665,183599,1.0
1600085896.8385985,184099,1.0
1600085897.7503583,184599,0.5
1600085898.6924644,185099,1.0
1600085899.6052902,185599,1.0
1600085900.50089,186099,1.0
1600085901.424375,186599,0.6666666865348816
1600085902.331652,187099,0.6666666865348816
1600085903.2413492,187599,1.0
1600085904.1616888,188099,1.0
1600085905.0802677,188599,1.0
1600085906.0425448,189099,nan
1600085907.032047,189599,nan
1600085907.9882965,190099,1.0
1600085908.9066193,190599,1.0
1600085909.7959461,191099,0.5
1600085910.6961174,191599,1.0
1600085911.5926497,192099,1.0
1600085912.4963806,192599,1.0
1600085913.3904192,193099,1.0
1600085914.3293495,193599,1.0
1600085915.2440104,194099,1.0
1600085916.157369,194599,1.0
1600085917.0526838,195099,0.6666666865348816
1600085917.9655938,195599,0.800000011920929
1600085918.8585145,196099,1.0
