,Step,Value
0,99,3.271555662155152
1,599,3.2753526592254643
2,1099,3.2641397410392763
3,1599,3.2524998137178422
4,2099,3.265916206571875
5,2599,3.247484956932151
6,3099,3.2449432762509214
7,3599,3.22929047053309
8,4099,3.219880284867676
9,4599,3.215384340467028
10,5099,3.197147326886806
11,5599,3.191198926814349
12,6099,3.1703934071774005
13,6599,3.1520293895732934
14,7099,3.1231789715973792
15,7599,3.114574299515225
16,8099,3.104051746923057
17,8599,3.083924104390884
18,9099,3.0612681256951504
19,9599,3.0418852444240847
20,10099,3.023252757488877
21,10599,3.0154527956030748
22,11099,3.012380615516917
23,11599,2.9924240588028943
24,12099,2.9794661551804262
25,12599,2.9695086191684017
26,13099,2.9547501446290916
27,13599,2.9424372511177523
28,14099,2.926787107894676
29,14599,2.9190219867356206
30,15099,2.90121332504812
31,15599,2.88538283051529
32,16099,2.8729078984465573
33,16599,2.8577385650122475
34,17099,2.8500874713047217
35,17599,2.832242462260925
36,18099,2.815348831307063
37,18599,2.795397619819897
38,19099,2.7784420822184237
39,19599,2.7645654623090965
40,20099,2.7557676928178414
41,20599,2.7402005296912377
42,21099,2.7287784128335035
43,21599,2.7167692661143787
44,22099,2.7073550720074646
45,22599,2.6919208624033417
46,23099,2.6789292315133015
47,23599,2.6649311508032407
48,24099,2.65236614386636
49,24599,2.6305418970981638
50,25099,2.604236478127182
51,25599,2.58717308876114
52,26099,2.5871973825775085
53,26599,2.592784687812097
54,27099,2.578941214169679
55,27599,2.559916978681844
56,28099,2.5368352128552534
57,28599,2.520878174260484
58,29099,2.5091639723099015
59,29599,2.49453959127859
60,30099,2.4695941953658043
61,30599,2.4614375338267274
62,31099,2.4451733817913013
63,31599,2.427749960656494
64,32099,2.4385440295390035
65,32599,2.4620420855280982
66,33099,2.475800187068905
67,33599,2.4534559258033313
68,34099,2.4365792652097724
69,34599,2.4333794753080715
70,35099,2.4289471600376418
71,35599,2.415078922806543
72,36099,2.4001477210237367
73,36599,2.391388299468025
74,37099,2.374071557500795
75,37599,2.3548887226850264
76,38099,2.339451564484017
77,38599,2.3244184748350034
78,39099,2.308464163448241
79,39599,2.29657656070269
80,40099,2.2978862171919157
81,40599,2.286957614133308
82,41099,2.2721128211264356
83,41599,2.249391692915171
84,42099,2.235169811107937
85,42599,2.216229377416414
86,43099,2.1989144033644252
87,43599,2.1843680984764413
88,44099,2.1884737716634297
89,44599,2.174033376321597
90,45099,2.16258601488466
91,45599,2.1560188140509227
92,46099,2.142976116535795
93,46599,2.134247277859603
94,47099,2.121491006152746
95,47599,2.1148471369599777
96,48099,2.0998458362532575
97,48599,2.0922259527389
98,49099,2.0782226856116806
99,49599,2.066944508175921
100,50099,2.053148213562034
101,50599,2.0397893791410286
102,51099,2.042239559785806
103,51599,2.0267871913962763
104,52099,2.011187192268835
105,52599,2.007406684262544
106,53099,2.000049473422726
107,53599,1.9933931950352395
108,54099,1.9845778825268732
109,54599,1.9804530910215505
110,55099,1.964627016668132
111,55599,1.9541731226382306
112,56099,1.943789139038153
113,56599,1.9367378998789877
114,57099,1.9324267244839424
115,57599,1.9203912964601035
116,58099,1.9195800345765877
117,58599,1.9252160013130362
118,59099,1.9269114788578892
119,59599,1.919194063707677
120,60099,1.9063259297140862
121,60599,1.9058192449999989
122,61099,1.901767861784618
123,61599,1.8889695720093547
124,62099,1.8823245860194096
125,62599,1.8721590578639884
126,63099,1.8626751733505262
127,63599,1.8496458467202086
128,64099,1.8373529204719397
129,64599,1.8224534634851617
130,65099,1.8144098289472033
131,65599,1.8124404762174235
132,66099,1.8058891620085329
133,66599,1.795109050729596
134,67099,1.792075728462275
135,67599,1.7781757011366635
136,68099,1.764949601929309
137,68599,1.7563174875781067
138,69099,1.7479737642489945
139,69599,1.737598929470007
140,70099,1.7314948925659777
141,70599,1.721662731607046
142,71099,1.710352705243124
143,71599,1.6977983906464422
144,72099,1.6892114467075146
145,72599,1.6743015033288966
146,73099,1.6702608865957784
147,73599,1.661921236757111
148,74099,1.654710557366644
149,74599,1.652437436225198
150,75099,1.6485268304405216
151,75599,1.6381471895536808
152,76099,1.6336606422987994
153,76599,1.6230561627078197
154,77099,1.6106284665263555
155,77599,1.6090088988467945
156,78099,1.6094210066471146
157,78599,1.5953393058372447
158,79099,1.5818611296146095
159,79599,1.5688394075639736
160,80099,1.5564350544758254
161,80599,1.5449002297475078
162,81099,1.5329769640799957
163,81599,1.5283396478235953
164,82099,1.5229819243533245
165,82599,1.5129643053937956
166,83099,1.5067992795922074
167,83599,1.4991792215430275
168,84099,1.494504083771338
169,84599,1.489526215079468
170,85099,1.4761191214662899
171,85599,1.4688746362414644
172,86099,1.4656990324648043
173,86599,1.4559748376051487
174,87099,1.4459648148808382
175,87599,1.434671827994542
176,88099,1.4306990811768463
177,88599,1.4180409752277392
178,89099,1.4104606754102686
179,89599,1.399355961785038
180,90099,1.4006675302647218
181,90599,1.4023611701991199
182,91099,1.395587453235326
183,91599,1.3861234142375454
184,92099,1.3800999244503718
185,92599,1.367988083883923
186,93099,1.364192781034662
187,93599,1.354552428038635
188,94099,1.3472777868415922
189,94599,1.3400190101519178
190,95099,1.3396396764308611
191,95599,1.3324784595676755
192,96099,1.3299166025041949
193,96599,1.3236480326162
194,97099,1.3213337350884236
195,97599,1.3104379468768006
196,98099,1.3060524597439243
197,98599,1.2955673931366545
198,99099,1.2859505118273773
199,99599,1.2764577995071458
200,100099,1.265132690521712
201,100599,1.254817045531778
202,101099,1.2497948740264646
203,101599,1.2496010966099762
204,102099,1.2431481263962871
205,102599,1.2441324335444184
206,103099,1.2412187406109898
207,103599,1.2336101162632562
208,104099,1.2343446103650584
209,104599,1.2265477737823198
210,105099,1.2209299871751347
211,105599,1.2088555107560646
212,106099,1.2030879346476417
213,106599,1.1961410173840281
214,107099,1.1938408746099758
215,107599,1.185255256934814
216,108099,1.185161199934695
217,108599,1.1798752982415155
218,109099,1.1703510580566945
219,109599,1.163530773334339
220,110099,1.1593734112863823
221,110599,1.152239980658912
222,111099,1.1500528525684408
223,111599,1.150752423272569
224,112099,1.1415066306644466
225,112599,1.1350109139090028
226,113099,1.1264733110284004
227,113599,1.1187454939952535
228,114099,1.112057823763324
229,114599,1.1050894904511896
230,115099,1.098497512926057
231,115599,1.0962001931265009
232,116099,1.0873389759738308
233,116599,1.0799796242404252
234,117099,1.0706271850863482
235,117599,1.0615867037635438
236,118099,1.0604535607964574
237,118599,1.0540051593170634
238,119099,1.0484169155804526
239,119599,1.03998891355035
240,120099,1.0336585136554928
241,120599,1.036832054394411
242,121099,1.0348259209976072
243,121599,1.027403469025256
244,122099,1.021187993275891
245,122599,1.0127760776518708
246,123099,1.0049523266705411
247,123599,1.0006915194816404
248,124099,0.9963327147957427
249,124599,0.994341916582264
250,125099,0.9908833504456924
251,125599,0.9819640098493556
252,126099,0.9747936173971938
253,126599,0.9671094916015349
254,127099,0.9613053472570566
255,127599,0.9564647688482869
256,128099,0.9483386472239616
257,128599,0.946434172533033
258,129099,0.9374116103764941
259,129599,0.930737418980142
260,130099,0.9216338387146423
261,130599,0.9150737807258648
262,131099,0.9085197535409167
263,131599,0.9040829252581893
264,132099,0.8996350883709677
265,132599,0.8964423344606772
266,133099,0.8892898178114363
267,133599,0.8869687203420927
268,134099,0.8822113596414718
269,134599,0.8745143103137653
270,135099,0.8695839184184561
271,135599,0.8670640377484851
272,136099,0.8603160638014735
273,136599,0.854225010654952
274,137099,0.8496887648818986
275,137599,0.8437709946504152
276,138099,0.836316083563388
277,138599,0.8293785181602741
278,139099,0.826107594340175
279,139599,0.8318739458316945
280,140099,0.8235552063733775
281,140599,0.8202583250044717
282,141099,0.814537829366579
283,141599,0.8100874932062445
284,142099,0.8032170324859321
285,142599,0.7973098750356761
286,143099,0.7906633815158891
287,143599,0.7886368961115273
288,144099,0.7881588391134934
289,144599,0.7833356344851949
290,145099,0.78235625737027
291,145599,0.7772350710430196
292,146099,0.7721061070542004
293,146599,0.7682170816444021
294,147099,0.760534910827958
295,147599,0.7589007770869955
296,148099,0.7557002989744431
297,148599,0.7496724830977453
298,149099,0.7448060644510597
299,149599,0.7385720234627303
300,150099,0.7333172782063115
301,150599,0.7279721174698702
302,151099,0.7246440844059999
303,151599,0.7235224600988432
304,152099,0.7181432123774515
305,152599,0.7119862625038906
306,153099,0.7068150679415386
307,153599,0.700679865180896
308,154099,0.6963277501190223
309,154599,0.6934607100388679
310,155099,0.6909248479388416
311,155599,0.685935047835155
312,156099,0.6856716623846126
313,156599,0.6816198318634429
314,157099,0.6762584653536139
315,157599,0.6702544961342475
316,158099,0.671832168224411
317,158599,0.6672733618634217
318,159099,0.6616493904470504
319,159599,0.6589828611851046
320,160099,0.6544592330978221
321,160599,0.6493873077754821
322,161099,0.644864361965994
323,161599,0.642534804611898
324,162099,0.6379762764243301
325,162599,0.6400192233635322
326,163099,0.6433032498942021
327,163599,0.6426593638185999
328,164099,0.6385004965421655
329,164599,0.6338118285911805
330,165099,0.6288463432856154
331,165599,0.6254674612159604
332,166099,0.6203250330426617
333,166599,0.6149032990704915
334,167099,0.6099478975946935
335,167599,0.6085706448808391
336,168099,0.6084153317702342
337,168599,0.6125790205259724
338,169099,0.6133830355994907
339,169599,0.6106765030144728
340,170099,0.6057212260351466
341,170599,0.602236019165916
342,171099,0.5998979469395546
343,171599,0.5956351327552695
344,172099,0.593136486508226
345,172599,0.5891765267916499
346,173099,0.5849721635038951
347,173599,0.5815824662256982
348,174099,0.5810811567964811
349,174599,0.5775240566011302
350,175099,0.5733988511184127
351,175599,0.5691654272718308
352,176099,0.5664337792957472
353,176599,0.5617191550160449
354,177099,0.5615246235782654
355,177599,0.5576135620534621
356,178099,0.5520374264329275
357,178599,0.5486411416182423
358,179099,0.5446482652438689
359,179599,0.5406105724943556
360,180099,0.5504399218055753
361,180599,0.546173011274558
362,181099,0.5490489427857672
363,181599,0.5464882314569696
364,182099,0.5450580042365466
365,182599,0.5431264490431191
366,183099,0.5395575590968317
367,183599,0.5430071655670586
368,184099,0.5392086037220742
369,184599,0.53480099478761
370,185099,0.5334874554575051
371,185599,0.5300970028797348
372,186099,0.5255142959405943
373,186599,0.5247845375861192
374,187099,0.5200710493780384
375,187599,0.5157189112129448
376,188099,0.5112527416954846
377,188599,0.5080884518466697
378,189099,0.5044429927587394
379,189599,0.49987716309474756
380,190099,0.49584749965791286
381,190599,0.49380247376993436
382,191099,0.49068233928887833
383,191599,0.48997843788256945
384,192099,0.48786922227272184
385,192599,0.48518631449957195
386,193099,0.48060966643272146
387,193599,0.47627440716030717
388,194099,0.4764860646819124
389,194599,0.472530401684453
390,195099,0.4710417127293684
391,195599,0.4710415040776645
392,196099,0.46743428242427704
393,196599,0.467440666128202
394,197099,0.46840781108072765
395,197599,0.46476070038155765
396,198099,0.4606521939576595
397,198599,0.4567576317675431
398,199099,0.4540763959785942
399,199599,0.45244059432006256
