Wall time,Step,Value
1600088045.4478433,99,0.1666666716337204
1600088046.3576972,599,0.7692307829856873
1600088047.3168366,1099,0.6363636255264282
1600088048.2499547,1599,0.375
1600088049.1563485,2099,0.7777777910232544
1600088050.083388,2599,1.0
1600088051.0119479,3099,0.75
1600088051.968255,3599,0.7777777910232544
1600088052.8863003,4099,1.0
1600088053.848542,4599,0.6000000238418579
1600088054.813528,5099,0.9230769276618958
1600088055.8453023,5599,0.8888888955116272
1600088056.8065748,6099,0.8461538553237915
1600088057.7926373,6599,0.6000000238418579
1600088058.7503412,7099,0.5
1600088059.7153625,7599,1.0
1600088060.700014,8099,0.8571428656578064
1600088061.6917472,8599,0.800000011920929
1600088062.610435,9099,0.75
1600088063.542677,9599,0.7142857313156128
1600088064.4454787,10099,0.6666666865348816
1600088065.3646762,10599,0.5833333134651184
1600088066.2704833,11099,0.6666666865348816
1600088067.181098,11599,0.75
1600088068.1054142,12099,0.7272727489471436
1600088069.0215366,12599,0.7272727489471436
1600088069.9237137,13099,0.5833333134651184
1600088070.8473015,13599,0.5
1600088071.7579894,14099,0.75
1600088072.6773117,14599,0.625
1600088073.589651,15099,0.6666666865348816
1600088074.513348,15599,0.5
1600088075.4366727,16099,0.6666666865348816
1600088076.3418198,16599,0.625
1600088077.2474442,17099,0.5555555820465088
1600088078.1575015,17599,0.625
1600088079.0625181,18099,0.5714285969734192
1600088079.983532,18599,0.6000000238418579
1600088080.9066617,19099,0.625
1600088081.8284912,19599,0.8333333134651184
1600088082.7375114,20099,0.625
1600088083.644359,20599,0.800000011920929
1600088084.55659,21099,0.6666666865348816
1600088085.4675438,21599,0.6000000238418579
1600088086.366435,22099,0.625
1600088087.281727,22599,0.800000011920929
1600088088.175666,23099,0.5714285969734192
1600088089.0699813,23599,0.6000000238418579
1600088089.9819124,24099,0.5
1600088090.8774083,24599,0.692307710647583
1600088091.7782483,25099,0.800000011920929
1600088092.7257588,25599,0.6363636255264282
1600088093.6549814,26099,0.5
1600088094.5647135,26599,0.7142857313156128
1600088095.47285,27099,0.5
1600088096.373683,27599,0.5714285969734192
1600088097.2684233,28099,0.6000000238418579
1600088098.1686456,28599,0.5714285969734192
1600088099.0773358,29099,0.800000011920929
1600088099.9945953,29599,0.625
1600088100.9065785,30099,0.6363636255264282
1600088101.8784974,30599,0.6000000238418579
1600088102.8604352,31099,0.5454545617103577
1600088103.8122978,31599,0.6000000238418579
1600088104.7264616,32099,0.6666666865348816
1600088105.6405742,32599,0.699999988079071
1600088106.551709,33099,0.5555555820465088
1600088107.4586856,33599,0.625
1600088108.360754,34099,0.7142857313156128
1600088109.270448,34599,0.7142857313156128
1600088110.1722481,35099,0.699999988079071
1600088111.0838542,35599,0.699999988079071
1600088112.0153875,36099,0.7777777910232544
1600088112.9305856,36599,0.5555555820465088
1600088113.8375676,37099,0.6363636255264282
1600088114.7484868,37599,0.6000000238418579
1600088115.654334,38099,0.75
1600088116.571486,38599,0.6000000238418579
1600088117.516722,39099,0.75
1600088118.426801,39599,nan
1600088119.3355496,40099,0.625
1600088120.2483702,40599,0.75
1600088121.152668,41099,0.6666666865348816
1600088122.0675087,41599,0.6666666865348816
1600088122.978554,42099,0.5
1600088123.8967733,42599,0.6666666865348816
1600088124.8077755,43099,0.625
1600088125.7167606,43599,0.5555555820465088
1600088126.6414704,44099,nan
1600088127.5433466,44599,0.8888888955116272
